Country,Average Points,Number of Reviews
Argentina,86.7,3800
Armenia,87.5,2
Australia,88.6,2329
Austria,90.1,3345
Bosnia and Herzegovina,86.5,2
Brazil,84.7,52
Bulgaria,87.9,141
Canada,89.4,257
Chile,86.5,4472
China,89.0,1
Croatia,87.2,73
Cyprus,87.2,11
Czech Republic,87.2,12
Egypt,84.0,1
England,91.6,74
France,88.8,22093
Georgia,87.7,86
Germany,89.9,2165
Greece,87.3,466
Hungary,89.2,146
India,90.2,9
Israel,88.5,505
Italy,88.6,19540
Lebanon,87.7,35
Luxembourg,88.7,6
Macedonia,86.8,12
Mexico,85.3,70
Moldova,87.2,59
Morocco,88.6,28
New Zealand,88.3,1419
Peru,83.6,16
Portugal,88.3,5691
Romania,86.4,120
Serbia,87.5,12
Slovakia,87.0,1
Slovenia,88.1,87
South Africa,88.1,1401
Spain,87.3,6645
Switzerland,88.6,7
Turkey,88.1,90
US,88.6,54504
Ukraine,84.1,14
Uruguay,86.8,109
